County,VIN,MSRP,ER
Adams,3,58325.01846722068,163.0
Asotin,6,62484.185133887346,101.33333333333333
Benton,138,59476.367930119144,112.02898550724638
Chelan,74,68019.15864979062,133.7027027027027
Clallam,60,54840.432402819504,96.3
Clark,625,61329.38354311678,111.2816
Columbia,1,67490.02770083102,249.0
Cowlitz,44,61089.139386525894,137.3181818181818
Douglas,17,66506.56496179027,168.88235294117646
Ferry,2,67490.02770083102,269.0
Franklin,36,62101.44506121709,142.47222222222223
Grant,39,63694.89316322682,127.3076923076923
Grays Harbor,28,58623.340136608655,119.85714285714286
Island,110,61172.6820182803,141.0909090909091
Jefferson,62,61852.11289630374,111.56451612903226
King,6368,61078.76539325214,103.42902010050251
Kitsap,372,60941.605911369086,98.29032258064517
Kittitas,41,61988.70780153415,93.92682926829268
Klickitat,13,62739.63243128063,84.07692307692308
Lewis,79,47533.8076962776,67.0632911392405
Lincoln,2,53742.51385041551,16.0
Mason,61,64321.352800307766,140.18032786885246
Okanogan,20,58678.25831024931,101.1
Pacific,11,53204.09846386301,79.45454545454545
Pend Oreille,3,49160.00923361033,104.33333333333333
Pierce,836,61045.91977691682,106.44138755980862
San Juan,63,63859.38222749857,132.82539682539684
Skagit,112,61684.79459339137,124.26785714285714
Skamania,15,59819.34995383195,95.26666666666667
Snohomish,1052,61169.32451246715,113.52281368821293
Spokane,334,58912.95114808149,93.16766467065868
Stevens,15,61709.35180055401,136.53333333333333
Thurston,325,57468.24102286998,106.52923076923076
Wahkiakum,2,52472.5,25.5
Walla Walla,28,60197.266729406445,89.10714285714286
Whatcom,218,62716.54183316074,113.90366972477064
Whitman,14,57359.652750296795,62.92857142857143
Yakima,68,62699.94853715744,115.0
